session,acq,condition,probe_flow,n_tp,peak_mass,containment_at_peak,ring_vs_tp1_peak_ratio
07_20_22_data,Baseline/Acq6,baseline,2.975,6,143590.8188425912,0.8478655869926167,0.9057076872300511
07_20_22_data,Baseline/Acq7,baseline,2.952,6,205464.15384907115,0.7738108159468974,1.0714528156992293
07_20_22_data,Baseline/Acq10,baseline,1.981,7,172121.92402583855,0.7514530329641819,0.8845665337044128
07_20_22_data,Angiotensin/Acq8,angiotensin,3.154,6,131237.6268546144,0.8558026785748575,0.8909931674892032
07_20_22_data,Angiotensin/Acq9,angiotensin,2.981,6,134788.09155410962,0.8140601523472422,1.266348781602737
07_20_22_data,Angiotensin/Acq12,angiotensin,3.562,6,48962.1165809886,0.6974309181514301,0.8573589128228178
8_31_22_data,Acq3,baseline,3.058,5,124776.68281902683,0.6275241079952628,1.3010758018136763
8_31_22_data,Acq4,baseline,2.531,6,111820.71515088339,0.6975220483718947,1.4594180608729401
8_31_22_data,Acq5,baseline,2.81,6,125107.91276160788,0.7157023319456,1.1883285135612371
09_07_22_data,Acq16,baseline,3.005,6,98789.2252804296,0.9915058573439866,0.9608071791323577
09_07_22_data,Acq17,baseline,3.116,6,95804.50319286424,1.3033283737945356,1.0008745685646108
