session,acq,condition,probe_flow,ct_flow,volume_mm3,volume_spread_mm3,n_opacified,containment,ring_vs_tp1,clean
07_20_22_data,Baseline/Acq6,baseline,2.975,2.946,92.80370005419195,6.359487296322314,5,0.8478655869926167,0.9057076872300511,True
07_20_22_data,Baseline/Acq7,baseline,2.952,2.922,112.43844662217407,6.554959559790191,5,0.7738108159468974,1.0714528156992293,True
07_20_22_data,Baseline/Acq10,baseline,1.981,2.021,109.97159540468107,15.894254427871516,6,0.7514530329641819,0.8845665337044128,True
07_20_22_data,Angiotensin/Acq8,angiotensin,3.154,3.051,117.0507604766828,25.774934055112126,5,0.8558026785748575,0.8909931674892032,True
07_20_22_data,Angiotensin/Acq9,angiotensin,2.981,2.994,140.53747865097932,41.03396880857343,6,0.8140601523472422,1.266348781602737,True
07_20_22_data,Angiotensin/Acq12,angiotensin,3.562,3.592,59.9424176473517,7.016174808642333,5,0.6974309181514301,0.8573589128228178,False
8_31_22_data,Acq3,baseline,3.058,2.942,61.173574669213245,9.361458594206272,5,0.6275241079952628,1.3010758018136763,False
8_31_22_data,Acq4,baseline,2.531,2.455,80.29956027717876,25.15013913142475,6,0.6975220483718947,1.4594180608729401,False
8_31_22_data,Acq5,baseline,2.81,2.923,80.5203430233664,28.86661720571734,6,0.7157023319456,1.1883285135612371,True
09_07_22_data,Acq16,baseline,3.005,2.881,151.2141023400145,15.540167889171983,4,0.9915058573439866,0.9608071791323577,True
09_07_22_data,Acq17,baseline,3.116,2.983,250.84469214780125,27.86411022901065,4,1.3033283737945356,1.0008745685646108,True
